                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.75495,                 7.1604,                0.86408,                 0.8074,                0.78612,                0.80445,                0.65533,                0.72701,                0.57785,                0.89941,             0.00010295,             0.00010295,             0.00010295
                     76,                0.82745,                 0.7137,                0.95228,                0.83586,                0.78068,                0.80485,                0.65919,                0.72787,                0.57822,                0.90031,             9.9137e-05,             9.9137e-05,             9.9137e-05
                     77,                0.84311,                0.71203,                0.92423,                0.85441,                0.77131,                 0.8024,                0.66106,                0.72456,                0.57915,                 0.8989,             9.5326e-05,             9.5326e-05,             9.5326e-05
                     78,                0.81088,                0.72125,                0.91776,                0.85441,                0.77131,                 0.8024,                0.66106,                0.72456,                0.57915,                 0.8989,             9.1514e-05,             9.1514e-05,             9.1514e-05
                     79,                0.80786,                0.69845,                0.90811,                0.87069,                0.77426,                0.80682,                0.66506,                0.72047,                0.57979,                0.89749,             8.7703e-05,             8.7703e-05,             8.7703e-05
                     80,                0.81567,                0.71203,                0.92195,                0.86541,                0.78483,                0.81513,                 0.6689,                0.71596,                0.57493,                0.89493,             8.3891e-05,             8.3891e-05,             8.3891e-05
                     81,                0.79976,                0.72478,                0.90399,                0.88048,                0.77586,                0.81513,                0.67022,                 0.7143,                0.56597,                0.89384,              8.008e-05,              8.008e-05,              8.008e-05
                     82,                0.79801,                0.64864,                 0.9062,                0.87545,                 0.7806,                0.81499,                0.66746,                 0.7156,                0.55971,                0.89366,             7.6268e-05,             7.6268e-05,             7.6268e-05
                     83,                0.78744,                0.73554,                0.91159,                0.87536,                0.77943,                0.81694,                0.67003,                0.71466,                0.55838,                 0.8925,             7.2457e-05,             7.2457e-05,             7.2457e-05
                     84,                0.78277,                0.64341,                0.89975,                0.87568,                0.77996,                0.82169,                0.67429,                0.71475,                0.55587,                0.89172,             6.8646e-05,             6.8646e-05,             6.8646e-05
                     85,                 0.8119,                0.72485,                0.93202,                 0.8772,                0.78068,                 0.8218,                0.67622,                  0.718,                0.55599,                0.89235,             6.4834e-05,             6.4834e-05,             6.4834e-05
                     86,                0.78544,                0.66742,                0.91721,                 0.8772,                0.78068,                 0.8218,                0.67622,                  0.718,                0.55599,                0.89235,             6.1023e-05,             6.1023e-05,             6.1023e-05
                     87,                0.78941,                0.68554,                0.89667,                0.87885,                0.77983,                0.82409,                0.68107,                0.71549,                0.55405,                0.89201,             5.7211e-05,             5.7211e-05,             5.7211e-05
