                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.88307,                0.65392,                0.95433,                0.82161,                0.76211,                0.79899,                0.62975,                0.82931,                0.54185,                0.91013,             9.9137e-05,             9.9137e-05,             9.9137e-05
                     77,                0.87725,                0.65113,                0.92457,                0.83584,                 0.7691,                0.80217,                0.63524,                0.82841,                0.53723,                0.90956,             9.5326e-05,             9.5326e-05,             9.5326e-05
                     78,                0.86201,                0.63926,                 0.9225,                0.83584,                 0.7691,                0.80217,                0.63524,                0.82841,                0.53723,                0.90956,             9.1514e-05,             9.1514e-05,             9.1514e-05
                     79,                0.87989,                0.64484,                0.92536,                0.86509,                0.76333,                0.80232,                0.63603,                 0.8243,                0.53354,                0.90905,             8.7703e-05,             8.7703e-05,             8.7703e-05
                     80,                0.86328,                0.63962,                0.92654,                0.79616,                0.79226,                0.80492,                0.63912,                0.82319,                0.53536,                 0.9086,             8.3891e-05,             8.3891e-05,             8.3891e-05
                     81,                0.85759,                0.63342,                0.91639,                0.80883,                0.79325,                0.80443,                0.63845,                0.82223,                0.53518,                0.90829,              8.008e-05,              8.008e-05,              8.008e-05
                     82,                 0.8571,                0.62495,                0.91654,                0.82217,                0.78947,                0.80703,                0.63782,                0.82387,                0.53674,                0.90843,             7.6268e-05,             7.6268e-05,             7.6268e-05
                     83,                0.86209,                 0.6635,                0.92756,                0.87396,                0.77599,                0.81287,                0.64546,                0.81844,                0.53579,                0.90739,             7.2457e-05,             7.2457e-05,             7.2457e-05
                     84,                 0.8648,                0.64098,                0.91653,                0.86049,                0.78713,                0.81484,                 0.6457,                0.81482,                0.53134,                0.90658,             6.8646e-05,             6.8646e-05,             6.8646e-05
                     85,                0.88223,                0.65481,                0.93213,                0.87376,                0.79156,                0.82092,                0.65263,                0.81313,                0.52709,                0.90632,             6.4834e-05,             6.4834e-05,             6.4834e-05
                     86,                 0.8624,                 0.6286,                0.93024,                0.87376,                0.79156,                0.82092,                0.65263,                0.81313,                0.52709,                0.90632,             6.1023e-05,             6.1023e-05,             6.1023e-05
                     87,                0.84652,                0.62897,                 0.9104,                0.87579,                0.79063,                0.82064,                0.65264,                0.81007,                0.52426,                0.90578,             5.7211e-05,             5.7211e-05,             5.7211e-05
                     88,                0.90073,                0.65644,                0.93878,                0.87973,                0.78891,                0.82006,                 0.6481,                0.80955,                0.52166,                0.90575,               5.34e-05,               5.34e-05,               5.34e-05
                     89,                 0.8557,                0.63936,                0.92466,                0.85502,                0.79898,                0.82012,                0.64649,                0.81035,                0.52151,                0.90579,             4.9588e-05,             4.9588e-05,             4.9588e-05
                     90,                0.89906,                0.66515,                0.94649,                 0.8625,                0.79935,                0.81983,                0.64949,                0.80843,                0.51965,                0.90497,             4.5776e-05,             4.5776e-05,             4.5776e-05
                     91,                0.90355,                0.68346,                0.94099,                0.86183,                 0.8006,                0.81881,                0.64519,                0.80861,                0.52089,                0.90417,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     92,                 0.8903,                0.64559,                0.94287,                0.81715,                0.80003,                0.81353,                0.64573,                0.81269,                0.52548,                0.90421,             3.8153e-05,             3.8153e-05,             3.8153e-05
                     93,                0.87679,                0.68706,                0.93105,                0.81409,                0.78773,                0.81248,                0.64391,                0.81633,                0.52917,                0.90389,             3.4342e-05,             3.4342e-05,             3.4342e-05
                     94,                0.85233,                0.63371,                0.91341,                0.81409,                0.78773,                0.81248,                0.64391,                0.81633,                0.52917,                0.90389,              3.053e-05,              3.053e-05,              3.053e-05
                     95,                0.88618,                0.61817,                0.92081,                0.78372,                0.80005,                0.80836,                0.63928,                0.81915,                0.53343,                 0.9041,             2.6719e-05,             2.6719e-05,             2.6719e-05
                     96,                0.86983,                0.61918,                0.91697,                0.76839,                0.80031,                0.80478,                0.63665,                0.82108,                  0.536,                0.90458,             2.2908e-05,             2.2908e-05,             2.2908e-05
                     97,                0.89491,                 0.6581,                 0.9167,                0.75637,                0.80192,                 0.8032,                0.63718,                0.82222,                0.53961,                0.90457,             1.9096e-05,             1.9096e-05,             1.9096e-05
                     98,                0.87458,                0.64006,                0.92061,                0.75753,                0.79856,                0.80525,                0.63975,                0.81974,                0.53572,                0.90402,             1.5285e-05,             1.5285e-05,             1.5285e-05
                     99,                0.84703,                0.61136,                0.92382,                0.75418,                0.79925,                0.80348,                0.63797,                0.81926,                0.53734,                0.90415,             1.1473e-05,             1.1473e-05,             1.1473e-05
                    100,                0.87792,                0.60207,                0.92503,                0.75277,                0.80211,                 0.8045,                0.63656,                0.81588,                0.53469,                0.90349,             7.6615e-06,             7.6615e-06,             7.6615e-06
